record_no,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
0,1,SPY,NYSEArca,2025-04-09,7,543.37,0,C,0.356601,0.51004
1,2,SPY,NYSEArca,2025-04-09,7,543.37,0,P,0.356288,-0.489387
2,3,SPY,NYSEArca,2025-04-09,7,570.53845,5,C,0.26807,0.0978
3,4,SPY,NYSEArca,2025-04-09,7,516.2015,5,P,0.458604,-0.200149
4,5,SPY,NYSEArca,2025-04-09,7,597.70703,10,C,0.283737,0.008099
5,6,SPY,NYSEArca,2025-04-09,7,489.033,10,P,0.580615,-0.088208
6,7,SPY,NYSEArca,2025-04-09,7,624.8755,15,C,0.358978,0.002674
7,8,SPY,NYSEArca,2025-04-09,7,461.8645,15,P,0.723359,-0.047111
8,9,SPY,NYSEArca,2025-04-09,7,652.044,20,C,0.405425,0.000645
9,10,SPY,NYSEArca,2025-04-09,7,434.696,20,P,0.855375,-0.025952
10,11,SPY,NYSEArca,2025-04-09,7,679.2125,25,C,0.405425,4e-05
11,12,SPY,NYSEArca,2025-04-09,7,407.5275,25,P,0.964005,-0.013124
12,13,SPY,NYSEArca,2025-04-09,7,706.381,30,C,0.398117,1e-06
13,14,SPY,NYSEArca,2025-04-09,7,380.35898,30,P,1.051926,-0.005834
14,15,SPY,NYSEArca,2025-04-09,7,733.5495,35,C,0.398117,0.0
15,16,SPY,NYSEArca,2025-04-09,7,353.1905,35,P,1.155937,-0.002787
16,17,SPY,NYSEArca,2025-04-09,7,760.71796,40,C,0.398117,0.0
17,18,SPY,NYSEArca,2025-04-09,7,326.022,40,P,1.168183,-0.000599
18,19,SPY,NYSEArca,2025-04-09,7,787.88654,45,C,0.398117,0.0
19,20,SPY,NYSEArca,2025-04-09,7,298.85352,45,P,1.39065,-0.000684
20,21,SPY,NYSEArca,2025-04-09,7,815.055,50,C,0.398117,0.0
21,22,SPY,NYSEArca,2025-04-09,7,271.685,50,P,1.540749,-0.000396
22,23,SPY,NYSEArca,2025-04-09,7,842.22345,55,C,0.398117,0.0
23,24,SPY,NYSEArca,2025-04-09,7,244.5165,55,P,1.540749,-5.9e-05
24,25,SPY,NYSEArca,2025-04-09,7,869.392,60,C,0.398117,0.0
25,26,SPY,NYSEArca,2025-04-09,7,217.34799,60,P,1.540749,-5e-06
26,27,SPY,NYSEArca,2025-04-09,14,543.37,0,C,0.299476,0.517644
27,28,SPY,NYSEArca,2025-04-09,14,543.37,0,P,0.298981,-0.483218
28,29,SPY,NYSEArca,2025-04-09,14,570.53845,5,C,0.231597,0.150819
29,30,SPY,NYSEArca,2025-04-09,14,516.2015,5,P,0.379216,-0.229503
30,31,SPY,NYSEArca,2025-04-09,14,597.70703,10,C,0.225206,0.017085
31,32,SPY,NYSEArca,2025-04-09,14,489.033,10,P,0.475896,-0.117249
32,33,SPY,NYSEArca,2025-04-09,14,624.8755,15,C,0.282648,0.006559
33,34,SPY,NYSEArca,2025-04-09,14,461.8645,15,P,0.581092,-0.06765
34,35,SPY,NYSEArca,2025-04-09,14,652.044,20,C,0.32714,0.00256
35,36,SPY,NYSEArca,2025-04-09,14,434.696,20,P,0.688533,-0.041862
36,37,SPY,NYSEArca,2025-04-09,14,679.2125,25,C,0.32714,0.000295
37,38,SPY,NYSEArca,2025-04-09,14,407.5275,25,P,0.782048,-0.024923
38,39,SPY,NYSEArca,2025-04-09,14,706.381,30,C,0.344205,6e-05
39,40,SPY,NYSEArca,2025-04-09,14,380.35898,30,P,0.866516,-0.014176
40,41,SPY,NYSEArca,2025-04-09,14,733.5495,35,C,0.344205,5e-06
41,42,SPY,NYSEArca,2025-04-09,14,353.1905,35,P,0.944245,-0.007607
42,43,SPY,NYSEArca,2025-04-09,14,760.71796,40,C,0.344205,0.0
43,44,SPY,NYSEArca,2025-04-09,14,326.022,40,P,1.028799,-0.004134
44,45,SPY,NYSEArca,2025-04-09,14,787.88654,45,C,0.344205,0.0
45,46,SPY,NYSEArca,2025-04-09,14,298.85352,45,P,1.1143,-0.002165
46,47,SPY,NYSEArca,2025-04-09,14,815.055,50,C,0.344205,0.0
47,48,SPY,NYSEArca,2025-04-09,14,271.685,50,P,1.173478,-0.000859
48,49,SPY,NYSEArca,2025-04-09,14,842.22345,55,C,0.344205,0.0
49,50,SPY,NYSEArca,2025-04-09,14,244.5165,55,P,1.173478,-0.000163
50,51,SPY,NYSEArca,2025-04-09,14,869.392,60,C,0.344205,0.0
51,52,SPY,NYSEArca,2025-04-09,14,217.34799,60,P,1.173478,-2e-05
52,53,SPY,NYSEArca,2025-04-09,21,543.37,0,C,0.280609,0.523144
53,54,SPY,NYSEArca,2025-04-09,21,543.37,0,P,0.279593,-0.478822
54,55,SPY,NYSEArca,2025-04-09,21,570.53845,5,C,0.215499,0.187954
55,56,SPY,NYSEArca,2025-04-09,21,516.2015,5,P,0.343652,-0.24733
56,57,SPY,NYSEArca,2025-04-09,21,597.70703,10,C,0.198832,0.02625
57,58,SPY,NYSEArca,2025-04-09,21,489.033,10,P,0.413025,-0.129086
58,59,SPY,NYSEArca,2025-04-09,21,624.8755,15,C,0.233907,0.007492
59,60,SPY,NYSEArca,2025-04-09,21,461.8645,15,P,0.498109,-0.075678
60,61,SPY,NYSEArca,2025-04-09,21,652.044,20,C,0.279353,0.003882
61,62,SPY,NYSEArca,2025-04-09,21,434.696,20,P,0.581835,-0.046347
62,63,SPY,NYSEArca,2025-04-09,21,679.2125,25,C,0.317317,0.002043
63,64,SPY,NYSEArca,2025-04-09,21,407.5275,25,P,0.661203,-0.028431
64,65,SPY,NYSEArca,2025-04-09,21,706.381,30,C,0.317317,0.000354
65,66,SPY,NYSEArca,2025-04-09,21,380.35898,30,P,0.735531,-0.017007
66,67,SPY,NYSEArca,2025-04-09,21,733.5495,35,C,0.317317,5.2e-05
67,68,SPY,NYSEArca,2025-04-09,21,353.1905,35,P,0.814895,-0.010424
68,69,SPY,NYSEArca,2025-04-09,21,760.71796,40,C,0.317317,6e-06
69,70,SPY,NYSEArca,2025-04-09,21,326.022,40,P,0.888293,-0.005997
70,71,SPY,NYSEArca,2025-04-09,21,787.88654,45,C,0.317317,1e-06
71,72,SPY,NYSEArca,2025-04-09,21,298.85352,45,P,0.966438,-0.003441
72,73,SPY,NYSEArca,2025-04-09,21,815.055,50,C,0.317317,0.0
73,74,SPY,NYSEArca,2025-04-09,21,271.685,50,P,0.966438,-0.000924
74,75,SPY,NYSEArca,2025-04-09,21,842.22345,55,C,0.317317,0.0
75,76,SPY,NYSEArca,2025-04-09,21,244.5165,55,P,0.966438,-0.00018
76,77,SPY,NYSEArca,2025-04-09,21,869.392,60,C,0.317317,0.0
77,78,SPY,NYSEArca,2025-04-09,21,217.34799,60,P,0.966438,-2.3e-05
78,79,SPY,NYSEArca,2025-04-09,30,543.37,0,C,0.268728,0.529423
79,80,SPY,NYSEArca,2025-04-09,30,543.37,0,P,0.267192,-0.474013
80,81,SPY,NYSEArca,2025-04-09,30,570.53845,5,C,0.21196,0.233602
81,82,SPY,NYSEArca,2025-04-09,30,516.2015,5,P,0.322844,-0.265208
82,83,SPY,NYSEArca,2025-04-09,30,597.70703,10,C,0.188816,0.046258
83,84,SPY,NYSEArca,2025-04-09,30,489.033,10,P,0.380732,-0.148047
84,85,SPY,NYSEArca,2025-04-09,30,624.8755,15,C,0.207772,0.011609
85,86,SPY,NYSEArca,2025-04-09,30,461.8645,15,P,0.444722,-0.086679
86,87,SPY,NYSEArca,2025-04-09,30,652.044,20,C,0.238859,0.004833
87,88,SPY,NYSEArca,2025-04-09,30,434.696,20,P,0.516018,-0.054616
88,89,SPY,NYSEArca,2025-04-09,30,679.2125,25,C,0.273991,0.002837
89,90,SPY,NYSEArca,2025-04-09,30,407.5275,25,P,0.585502,-0.034776
90,91,SPY,NYSEArca,2025-04-09,30,706.381,30,C,0.29113,0.001076
91,92,SPY,NYSEArca,2025-04-09,30,380.35898,30,P,0.650513,-0.021635
92,93,SPY,NYSEArca,2025-04-09,30,733.5495,35,C,0.29113,0.000215
93,94,SPY,NYSEArca,2025-04-09,30,353.1905,35,P,0.713716,-0.013154
94,95,SPY,NYSEArca,2025-04-09,30,760.71796,40,C,0.29113,3.8e-05
95,96,SPY,NYSEArca,2025-04-09,30,326.022,40,P,0.778409,-0.007901
96,97,SPY,NYSEArca,2025-04-09,30,787.88654,45,C,0.29113,6e-06
97,98,SPY,NYSEArca,2025-04-09,30,298.85352,45,P,0.845747,-0.004679
98,99,SPY,NYSEArca,2025-04-09,30,815.055,50,C,0.29113,1e-06
99,100,SPY,NYSEArca,2025-04-09,30,271.685,50,P,0.872343,-0.001818
100,101,SPY,NYSEArca,2025-04-09,30,842.22345,55,C,0.29113,0.0
101,102,SPY,NYSEArca,2025-04-09,30,244.5165,55,P,0.872343,-0.000435
102,103,SPY,NYSEArca,2025-04-09,30,869.392,60,C,0.29113,0.0
103,104,SPY,NYSEArca,2025-04-09,30,217.34799,60,P,0.872343,-7.2e-05
104,105,SPY,NYSEArca,2025-04-09,60,543.37,0,C,0.248465,0.544686
105,106,SPY,NYSEArca,2025-04-09,60,543.37,0,P,0.245604,-0.462848
106,107,SPY,NYSEArca,2025-04-09,60,570.53845,5,C,0.206687,0.320833
107,108,SPY,NYSEArca,2025-04-09,60,516.2015,5,P,0.285487,-0.292353
108,109,SPY,NYSEArca,2025-04-09,60,597.70703,10,C,0.177532,0.114962
109,110,SPY,NYSEArca,2025-04-09,60,489.033,10,P,0.325104,-0.181574
110,111,SPY,NYSEArca,2025-04-09,60,624.8755,15,C,0.173675,0.031446
111,112,SPY,NYSEArca,2025-04-09,60,461.8645,15,P,0.369647,-0.115097
112,113,SPY,NYSEArca,2025-04-09,60,652.044,20,C,0.187463,0.011372
113,114,SPY,NYSEArca,2025-04-09,60,434.696,20,P,0.418623,-0.075219
114,115,SPY,NYSEArca,2025-04-09,60,679.2125,25,C,0.196342,0.003638
115,116,SPY,NYSEArca,2025-04-09,60,407.5275,25,P,0.469031,-0.050339
116,117,SPY,NYSEArca,2025-04-09,60,706.381,30,C,0.205565,0.001221
117,118,SPY,NYSEArca,2025-04-09,60,380.35898,30,P,0.517451,-0.033213
118,119,SPY,NYSEArca,2025-04-09,60,733.5495,35,C,0.205565,0.000248
119,120,SPY,NYSEArca,2025-04-09,60,353.1905,35,P,0.565043,-0.021541
120,121,SPY,NYSEArca,2025-04-09,60,760.71796,40,C,0.205565,4.4e-05
121,122,SPY,NYSEArca,2025-04-09,60,326.022,40,P,0.615102,-0.013949
122,123,SPY,NYSEArca,2025-04-09,60,787.88654,45,C,0.205565,7e-06
123,124,SPY,NYSEArca,2025-04-09,60,298.85352,45,P,0.670513,-0.009171
124,125,SPY,NYSEArca,2025-04-09,60,815.055,50,C,0.205565,1e-06
125,126,SPY,NYSEArca,2025-04-09,60,271.685,50,P,0.698625,-0.004509
126,127,SPY,NYSEArca,2025-04-09,60,842.22345,55,C,0.205565,0.0
127,128,SPY,NYSEArca,2025-04-09,60,244.5165,55,P,0.730616,-0.002083
128,129,SPY,NYSEArca,2025-04-09,60,869.392,60,C,0.205565,0.0
129,130,SPY,NYSEArca,2025-04-09,60,217.34799,60,P,0.751611,-0.000736
130,131,SPY,NYSEArca,2025-04-09,90,543.37,0,C,0.241743,0.546149
131,132,SPY,NYSEArca,2025-04-09,90,543.37,0,P,0.238801,-0.459167
132,133,SPY,NYSEArca,2025-04-09,90,570.53845,5,C,0.208002,0.361779
133,134,SPY,NYSEArca,2025-04-09,90,516.2015,5,P,0.273154,-0.311673
134,135,SPY,NYSEArca,2025-04-09,90,597.70703,10,C,0.179207,0.171735
135,136,SPY,NYSEArca,2025-04-09,90,489.033,10,P,0.30289,-0.206035
136,137,SPY,NYSEArca,2025-04-09,90,624.8755,15,C,0.168864,0.061767
137,138,SPY,NYSEArca,2025-04-09,90,461.8645,15,P,0.340831,-0.138725
138,139,SPY,NYSEArca,2025-04-09,90,652.044,20,C,0.166512,0.018881
139,140,SPY,NYSEArca,2025-04-09,90,434.696,20,P,0.375845,-0.09193
140,141,SPY,NYSEArca,2025-04-09,90,679.2125,25,C,0.179956,0.008832
141,142,SPY,NYSEArca,2025-04-09,90,407.5275,25,P,0.416268,-0.062789
142,143,SPY,NYSEArca,2025-04-09,90,706.381,30,C,0.193415,0.004535
143,144,SPY,NYSEArca,2025-04-09,90,380.35898,30,P,0.458056,-0.043155
144,145,SPY,NYSEArca,2025-04-09,90,733.5495,35,C,0.198127,0.001703
145,146,SPY,NYSEArca,2025-04-09,90,353.1905,35,P,0.501753,-0.02978
146,147,SPY,NYSEArca,2025-04-09,90,760.71796,40,C,0.201691,0.000602
147,148,SPY,NYSEArca,2025-04-09,90,326.022,40,P,0.547852,-0.02059
148,149,SPY,NYSEArca,2025-04-09,90,787.88654,45,C,0.201691,0.000166
149,150,SPY,NYSEArca,2025-04-09,90,298.85352,45,P,0.594308,-0.013934
150,151,SPY,NYSEArca,2025-04-09,90,815.055,50,C,0.201691,4.3e-05
151,152,SPY,NYSEArca,2025-04-09,90,271.685,50,P,0.645832,-0.009501
152,153,SPY,NYSEArca,2025-04-09,90,842.22345,55,C,0.201691,1e-05
153,154,SPY,NYSEArca,2025-04-09,90,244.5165,55,P,0.701433,-0.006412
154,155,SPY,NYSEArca,2025-04-09,90,869.392,60,C,0.201691,2e-06
155,156,SPY,NYSEArca,2025-04-09,90,217.34799,60,P,0.713651,-0.002682
156,157,SPY,NYSEArca,2025-04-09,120,543.37,0,C,0.237786,0.555615
157,158,SPY,NYSEArca,2025-04-09,120,543.37,0,P,0.233918,-0.45244
158,159,SPY,NYSEArca,2025-04-09,120,570.53845,5,C,0.20855,0.395657
159,160,SPY,NYSEArca,2025-04-09,120,516.2015,5,P,0.261268,-0.317904
160,161,SPY,NYSEArca,2025-04-09,120,597.70703,10,C,0.182181,0.222714
161,162,SPY,NYSEArca,2025-04-09,120,489.033,10,P,0.288379,-0.219088
162,163,SPY,NYSEArca,2025-04-09,120,624.8755,15,C,0.165356,0.093615
163,164,SPY,NYSEArca,2025-04-09,120,461.8645,15,P,0.317232,-0.149648
164,165,SPY,NYSEArca,2025-04-09,120,652.044,20,C,0.159633,0.033327
165,166,SPY,NYSEArca,2025-04-09,120,434.696,20,P,0.349409,-0.102941
166,167,SPY,NYSEArca,2025-04-09,120,679.2125,25,C,0.164715,0.01367
167,168,SPY,NYSEArca,2025-04-09,120,407.5275,25,P,0.384827,-0.071812
168,169,SPY,NYSEArca,2025-04-09,120,706.381,30,C,0.173062,0.006374
169,170,SPY,NYSEArca,2025-04-09,120,380.35898,30,P,0.421662,-0.050432
170,171,SPY,NYSEArca,2025-04-09,120,733.5495,35,C,0.173062,0.002046
171,172,SPY,NYSEArca,2025-04-09,120,353.1905,35,P,0.461325,-0.035802
