record_no,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
172,173,SPY,NYSEArca,2025-04-09,120,760.71796,40,C,0.173062,0.000603
173,174,SPY,NYSEArca,2025-04-09,120,326.022,40,P,0.500071,-0.024848
174,175,SPY,NYSEArca,2025-04-09,120,787.88654,45,C,0.173062,0.000165
175,176,SPY,NYSEArca,2025-04-09,120,298.85352,45,P,0.536974,-0.016555
176,177,SPY,NYSEArca,2025-04-09,120,815.055,50,C,0.173062,4.2e-05
177,178,SPY,NYSEArca,2025-04-09,120,271.685,50,P,0.555418,-0.008904
178,179,SPY,NYSEArca,2025-04-09,120,842.22345,55,C,0.173062,1e-05
179,180,SPY,NYSEArca,2025-04-09,120,244.5165,55,P,0.580634,-0.004698
180,181,SPY,NYSEArca,2025-04-09,120,869.392,60,C,0.173062,2e-06
181,182,SPY,NYSEArca,2025-04-09,120,217.34799,60,P,0.580634,-0.001584
182,183,SPY,NYSEArca,2025-04-09,150,543.37,0,C,0.235311,0.560927
183,184,SPY,NYSEArca,2025-04-09,150,543.37,0,P,0.230792,-0.447913
184,185,SPY,NYSEArca,2025-04-09,150,570.53845,5,C,0.209392,0.418148
185,186,SPY,NYSEArca,2025-04-09,150,516.2015,5,P,0.252266,-0.322586
186,187,SPY,NYSEArca,2025-04-09,150,597.70703,10,C,0.183516,0.258748
187,188,SPY,NYSEArca,2025-04-09,150,489.033,10,P,0.276399,-0.227951
188,189,SPY,NYSEArca,2025-04-09,150,624.8755,15,C,0.164431,0.123882
189,190,SPY,NYSEArca,2025-04-09,150,461.8645,15,P,0.302746,-0.160096
190,191,SPY,NYSEArca,2025-04-09,150,652.044,20,C,0.156726,0.050434
191,192,SPY,NYSEArca,2025-04-09,150,434.696,20,P,0.329132,-0.111238
192,193,SPY,NYSEArca,2025-04-09,150,679.2125,25,C,0.157904,0.021144
193,194,SPY,NYSEArca,2025-04-09,150,407.5275,25,P,0.361224,-0.079017
194,195,SPY,NYSEArca,2025-04-09,150,706.381,30,C,0.164228,0.010145
195,196,SPY,NYSEArca,2025-04-09,150,380.35898,30,P,0.396373,-0.056755
196,197,SPY,NYSEArca,2025-04-09,150,733.5495,35,C,0.165739,0.003979
197,198,SPY,NYSEArca,2025-04-09,150,353.1905,35,P,0.429824,-0.04009
198,199,SPY,NYSEArca,2025-04-09,150,760.71796,40,C,0.165739,0.001368
199,200,SPY,NYSEArca,2025-04-09,150,326.022,40,P,0.46776,-0.028887
200,201,SPY,NYSEArca,2025-04-09,150,787.88654,45,C,0.165739,0.00044
201,202,SPY,NYSEArca,2025-04-09,150,298.85352,45,P,0.490566,-0.017859
202,203,SPY,NYSEArca,2025-04-09,150,815.055,50,C,0.165739,0.000134
203,204,SPY,NYSEArca,2025-04-09,150,271.685,50,P,0.507503,-0.009809
204,205,SPY,NYSEArca,2025-04-09,150,842.22345,55,C,0.165739,3.8e-05
205,206,SPY,NYSEArca,2025-04-09,150,244.5165,55,P,0.526906,-0.00506
206,207,SPY,NYSEArca,2025-04-09,150,869.392,60,C,0.165739,1.1e-05
207,208,SPY,NYSEArca,2025-04-09,150,217.34799,60,P,0.549056,-0.002428
208,209,SPY,NYSEArca,2025-04-09,180,543.37,0,C,0.22915,0.565909
209,210,SPY,NYSEArca,2025-04-09,180,543.37,0,P,0.224161,-0.444062
210,211,SPY,NYSEArca,2025-04-09,180,570.53845,5,C,0.205033,0.432963
211,212,SPY,NYSEArca,2025-04-09,180,516.2015,5,P,0.245308,-0.325684
212,213,SPY,NYSEArca,2025-04-09,180,597.70703,10,C,0.181536,0.283932
213,214,SPY,NYSEArca,2025-04-09,180,489.033,10,P,0.267531,-0.234926
214,215,SPY,NYSEArca,2025-04-09,180,624.8755,15,C,0.162763,0.149515
215,216,SPY,NYSEArca,2025-04-09,180,461.8645,15,P,0.290891,-0.167451
216,217,SPY,NYSEArca,2025-04-09,180,652.044,20,C,0.153474,0.066527
217,218,SPY,NYSEArca,2025-04-09,180,434.696,20,P,0.31624,-0.119043
218,219,SPY,NYSEArca,2025-04-09,180,679.2125,25,C,0.150417,0.027373
219,220,SPY,NYSEArca,2025-04-09,180,407.5275,25,P,0.344312,-0.085145
220,221,SPY,NYSEArca,2025-04-09,180,706.381,30,C,0.153195,0.012272
221,222,SPY,NYSEArca,2025-04-09,180,380.35898,30,P,0.374249,-0.061123
222,223,SPY,NYSEArca,2025-04-09,180,733.5495,35,C,0.163733,0.007657
223,224,SPY,NYSEArca,2025-04-09,180,353.1905,35,P,0.405258,-0.04358
224,225,SPY,NYSEArca,2025-04-09,180,760.71796,40,C,0.167444,0.003706
225,226,SPY,NYSEArca,2025-04-09,180,326.022,40,P,0.442461,-0.03215
226,227,SPY,NYSEArca,2025-04-09,180,787.88654,45,C,0.163548,0.001146
227,228,SPY,NYSEArca,2025-04-09,180,298.85352,45,P,0.474341,-0.022321
228,229,SPY,NYSEArca,2025-04-09,180,815.055,50,C,0.165285,0.000469
229,230,SPY,NYSEArca,2025-04-09,180,271.685,50,P,0.512298,-0.015782
230,231,SPY,NYSEArca,2025-04-09,180,842.22345,55,C,0.165761,0.000172
231,232,SPY,NYSEArca,2025-04-09,180,244.5165,55,P,0.553789,-0.011074
232,233,SPY,NYSEArca,2025-04-09,180,869.392,60,C,0.165761,5.8e-05
233,234,SPY,NYSEArca,2025-04-09,180,217.34799,60,P,0.59903,-0.00764
234,235,SPY,NYSEArca,2025-04-09,270,543.37,0,C,0.220651,0.577755
235,236,SPY,NYSEArca,2025-04-09,270,543.37,0,P,0.214124,-0.434555
236,237,SPY,NYSEArca,2025-04-09,270,570.53845,5,C,0.202001,0.468028
237,238,SPY,NYSEArca,2025-04-09,270,516.2015,5,P,0.231532,-0.330771
238,239,SPY,NYSEArca,2025-04-09,270,597.70703,10,C,0.182706,0.344724
239,240,SPY,NYSEArca,2025-04-09,270,489.033,10,P,0.248614,-0.247484
240,241,SPY,NYSEArca,2025-04-09,270,624.8755,15,C,0.164361,0.219704
241,242,SPY,NYSEArca,2025-04-09,270,461.8645,15,P,0.267105,-0.182905
242,243,SPY,NYSEArca,2025-04-09,270,652.044,20,C,0.150604,0.118356
243,244,SPY,NYSEArca,2025-04-09,270,434.696,20,P,0.286664,-0.133877
244,245,SPY,NYSEArca,2025-04-09,270,679.2125,25,C,0.144455,0.05859
245,246,SPY,NYSEArca,2025-04-09,270,407.5275,25,P,0.309287,-0.098475
246,247,SPY,NYSEArca,2025-04-09,270,706.381,30,C,0.142902,0.028474
247,248,SPY,NYSEArca,2025-04-09,270,380.35898,30,P,0.331537,-0.071354
248,249,SPY,NYSEArca,2025-04-09,270,733.5495,35,C,0.147225,0.016096
249,250,SPY,NYSEArca,2025-04-09,270,353.1905,35,P,0.358551,-0.052492
250,251,SPY,NYSEArca,2025-04-09,270,760.71796,40,C,0.152649,0.009687
251,252,SPY,NYSEArca,2025-04-09,270,326.022,40,P,0.385774,-0.038239
252,253,SPY,NYSEArca,2025-04-09,270,787.88654,45,C,0.160064,0.006595
253,254,SPY,NYSEArca,2025-04-09,270,298.85352,45,P,0.41599,-0.027933
254,255,SPY,NYSEArca,2025-04-09,270,815.055,50,C,0.168398,0.004896
255,256,SPY,NYSEArca,2025-04-09,270,271.685,50,P,0.446631,-0.019956
256,257,SPY,NYSEArca,2025-04-09,270,842.22345,55,C,0.169234,0.002597
257,258,SPY,NYSEArca,2025-04-09,270,244.5165,55,P,0.479719,-0.014052
258,259,SPY,NYSEArca,2025-04-09,270,869.392,60,C,0.169234,0.001295
259,260,SPY,NYSEArca,2025-04-09,270,217.34799,60,P,0.515114,-0.009635
260,261,SPY,NYSEArca,2025-04-09,360,543.37,0,C,0.215988,0.587364
261,262,SPY,NYSEArca,2025-04-09,360,543.37,0,P,0.208,-0.426959
262,263,SPY,NYSEArca,2025-04-09,360,570.53845,5,C,0.200067,0.492018
263,264,SPY,NYSEArca,2025-04-09,360,516.2015,5,P,0.221913,-0.332172
264,265,SPY,NYSEArca,2025-04-09,360,597.70703,10,C,0.183459,0.385417
265,266,SPY,NYSEArca,2025-04-09,360,489.033,10,P,0.23671,-0.254642
266,267,SPY,NYSEArca,2025-04-09,360,624.8755,15,C,0.167428,0.274053
267,268,SPY,NYSEArca,2025-04-09,360,461.8645,15,P,0.252181,-0.192618
268,269,SPY,NYSEArca,2025-04-09,360,652.044,20,C,0.153786,0.172414
269,270,SPY,NYSEArca,2025-04-09,360,434.696,20,P,0.26891,-0.144256
270,271,SPY,NYSEArca,2025-04-09,360,679.2125,25,C,0.14528,0.09848
271,272,SPY,NYSEArca,2025-04-09,360,407.5275,25,P,0.287834,-0.10764
272,273,SPY,NYSEArca,2025-04-09,360,706.381,30,C,0.141811,0.054469
273,274,SPY,NYSEArca,2025-04-09,360,380.35898,30,P,0.30988,-0.081063
274,275,SPY,NYSEArca,2025-04-09,360,733.5495,35,C,0.142552,0.031438
275,276,SPY,NYSEArca,2025-04-09,360,353.1905,35,P,0.329658,-0.059099
276,277,SPY,NYSEArca,2025-04-09,360,760.71796,40,C,0.145217,0.018982
277,278,SPY,NYSEArca,2025-04-09,360,326.022,40,P,0.353093,-0.043632
278,279,SPY,NYSEArca,2025-04-09,360,787.88654,45,C,0.149016,0.012048
279,280,SPY,NYSEArca,2025-04-09,360,298.85352,45,P,0.379019,-0.032014
280,281,SPY,NYSEArca,2025-04-09,360,815.055,50,C,0.152208,0.007564
281,282,SPY,NYSEArca,2025-04-09,360,271.685,50,P,0.406437,-0.023262
282,283,SPY,NYSEArca,2025-04-09,360,842.22345,55,C,0.158588,0.005645
283,284,SPY,NYSEArca,2025-04-09,360,244.5165,55,P,0.434988,-0.016486
284,285,SPY,NYSEArca,2025-04-09,360,869.392,60,C,0.160386,0.00344
285,286,SPY,NYSEArca,2025-04-09,360,217.34799,60,P,0.434988,-0.008116
286,287,SPY,NYSEArca,2025-04-09,720,543.37,0,C,0.210401,0.614477
287,288,SPY,NYSEArca,2025-04-09,720,543.37,0,P,0.198135,-0.405432
288,289,SPY,NYSEArca,2025-04-09,720,570.53845,5,C,0.199431,0.548644
289,290,SPY,NYSEArca,2025-04-09,720,516.2015,5,P,0.207921,-0.331168
290,291,SPY,NYSEArca,2025-04-09,720,597.70703,10,C,0.188843,0.477221
291,292,SPY,NYSEArca,2025-04-09,720,489.033,10,P,0.217669,-0.267473
292,293,SPY,NYSEArca,2025-04-09,720,624.8755,15,C,0.178154,0.401378
293,294,SPY,NYSEArca,2025-04-09,720,461.8645,15,P,0.227419,-0.213099
294,295,SPY,NYSEArca,2025-04-09,720,652.044,20,C,0.167608,0.323412
295,296,SPY,NYSEArca,2025-04-09,720,434.696,20,P,0.238685,-0.168318
296,297,SPY,NYSEArca,2025-04-09,720,679.2125,25,C,0.159658,0.250837
297,298,SPY,NYSEArca,2025-04-09,720,407.5275,25,P,0.25056,-0.131291
298,299,SPY,NYSEArca,2025-04-09,720,706.381,30,C,0.151429,0.183444
299,300,SPY,NYSEArca,2025-04-09,720,380.35898,30,P,0.263644,-0.101581
300,301,SPY,NYSEArca,2025-04-09,720,733.5495,35,C,0.145815,0.129731
301,302,SPY,NYSEArca,2025-04-09,720,353.1905,35,P,0.275281,-0.076303
302,303,SPY,NYSEArca,2025-04-09,720,760.71796,40,C,0.143934,0.092768
303,304,SPY,NYSEArca,2025-04-09,720,326.022,40,P,0.291568,-0.058221
304,305,SPY,NYSEArca,2025-04-09,720,787.88654,45,C,0.14208,0.064413
305,306,SPY,NYSEArca,2025-04-09,720,298.85352,45,P,0.310461,-0.044352
306,307,SPY,NYSEArca,2025-04-09,720,815.055,50,C,0.142182,0.04583
307,308,SPY,NYSEArca,2025-04-09,720,271.685,50,P,0.328558,-0.032692
308,309,SPY,NYSEArca,2025-04-09,720,842.22345,55,C,0.145034,0.035123
309,310,SPY,NYSEArca,2025-04-09,720,244.5165,55,P,0.34933,-0.023996
310,311,SPY,NYSEArca,2025-04-09,720,869.392,60,C,0.141626,0.021818
311,312,SPY,NYSEArca,2025-04-09,720,217.34799,60,P,0.374316,-0.017623
312,313,SPY,NYSEArca,2025-04-09,1080,543.37,0,C,0.21074,0.634355
313,314,SPY,NYSEArca,2025-04-09,1080,543.37,0,P,0.195892,-0.389621
314,315,SPY,NYSEArca,2025-04-09,1080,570.53845,5,C,0.2022,0.582893
315,316,SPY,NYSEArca,2025-04-09,1080,516.2015,5,P,0.203635,-0.32562
316,317,SPY,NYSEArca,2025-04-09,1080,597.70703,10,C,0.19527,0.528526
317,318,SPY,NYSEArca,2025-04-09,1080,489.033,10,P,0.211599,-0.269838
318,319,SPY,NYSEArca,2025-04-09,1080,624.8755,15,C,0.18513,0.469497
319,320,SPY,NYSEArca,2025-04-09,1080,461.8645,15,P,0.219731,-0.221324
320,321,SPY,NYSEArca,2025-04-09,1080,652.044,20,C,0.175305,0.407316
321,322,SPY,NYSEArca,2025-04-09,1080,434.696,20,P,0.228768,-0.179876
322,323,SPY,NYSEArca,2025-04-09,1080,679.2125,25,C,0.168155,0.346684
323,324,SPY,NYSEArca,2025-04-09,1080,407.5275,25,P,0.238568,-0.144716
324,325,SPY,NYSEArca,2025-04-09,1080,706.381,30,C,0.160702,0.286343
325,326,SPY,NYSEArca,2025-04-09,1080,380.35898,30,P,0.249323,-0.11548
326,327,SPY,NYSEArca,2025-04-09,1080,733.5495,35,C,0.153348,0.228418
327,328,SPY,NYSEArca,2025-04-09,1080,353.1905,35,P,0.261037,-0.09122
328,329,SPY,NYSEArca,2025-04-09,1080,760.71796,40,C,0.14879,0.180186
329,330,SPY,NYSEArca,2025-04-09,1080,326.022,40,P,0.272595,-0.070667
330,331,SPY,NYSEArca,2025-04-09,1080,787.88654,45,C,0.143994,0.137169
331,332,SPY,NYSEArca,2025-04-09,1080,298.85352,45,P,0.287091,-0.054732
332,333,SPY,NYSEArca,2025-04-09,1080,815.055,50,C,0.141547,0.104906
333,334,SPY,NYSEArca,2025-04-09,1080,271.685,50,P,0.304217,-0.042369
334,335,SPY,NYSEArca,2025-04-09,1080,842.22345,55,C,0.139856,0.079667
335,336,SPY,NYSEArca,2025-04-09,1080,244.5165,55,P,0.320687,-0.031757
336,337,SPY,NYSEArca,2025-04-09,1080,869.392,60,C,0.139655,0.061649
337,338,SPY,NYSEArca,2025-04-09,1080,217.34799,60,P,0.340743,-0.023659
